project_id,country,customer,organisation,exp_id,title,cause,area_of_cause,impact,mitigation_step,cost_for_mitigation,exposure_status,loss_id,loss_value
1,India,Riyadh Railways,Digital Industries,2833,Prototype Delay,The prototype development faced delays due to underestimating resource requirements and testing challenges.,ENGINEERING,379000.95,Improve resource planning and timeline estimation.,36143.46,REALISED,395,65651.88
1,India,Riyadh Railways,Digital Industries,3819,Client Payment Delay,"There were significant delays in receiving client payments, disrupting the company's cash flow. These delays stemmed from inefficiencies in client payment systems, financial constraints, or poor communication.",SALES,128152.34,Follow up with clients regularly and negotiate flexible payment terms.,22594.17,REALISED,1208,25595.64
1,India,Riyadh Railways,Digital Industries,873,Prototype Delay,The prototype development faced delays due to underestimating resource requirements and testing challenges.,ENGINEERING,24733.41,Improve resource planning and timeline estimation.,22579.96,REALISED,2193,49190.89
1,India,Riyadh Railways,Digital Industries,1022,Faulty Product Batch,A manufacturing defect in a specific batch led to multiple product failures.,WARRANTY,333176.45,Replace defective products and conduct root cause analysis.,28133.94,REALISED,2325,70332.29
1,India,Riyadh Railways,Digital Industries,2817,Lack of Skilled Resources,Challenges in hiring skilled research staff hindered project progress.,RESEARCH,169884.9,Offer competitive packages to attract skilled personnel.,40753.48,REALISED,2964,68598.73
1,India,Riyadh Railways,Digital Industries,2833,Prototype Delay,The prototype development faced delays due to underestimating resource requirements and testing challenges.,ENGINEERING,379000.95,Improve resource planning and timeline estimation.,36143.46,REALISED,4547,70809.52
1,India,Riyadh Railways,Digital Industries,7367,Supply Chain Issue,Delays in sourcing raw materials slowed down production schedules.,PRODUCTION,323328.36,Diversify suppliers and maintain buffer stock.,41449.33,REALISED,5175,30034.61
1,India,Riyadh Railways,Digital Industries,2833,Prototype Delay,The prototype development faced delays due to underestimating resource requirements and testing challenges.,ENGINEERING,379000.95,Improve resource planning and timeline estimation.,36143.46,REALISED,5741,27316
1,India,Riyadh Railways,Digital Industries,167,Prototype Delay,The prototype development faced delays due to underestimating resource requirements and testing challenges.,ENGINEERING,82696.31,Improve resource planning and timeline estimation.,37786.83,REALISED,NULL,NULL
1,India,Riyadh Railways,Digital Industries,8537,Prototype Delay,The prototype development faced delays due to underestimating resource requirements and testing challenges.,ENGINEERING,201230.22,Improve resource planning and timeline estimation.,23492.33,ACTIVE,NULL,NULL
1,India,Riyadh Railways,Digital Industries,9136,Supply Chain Issue,Delays in sourcing raw materials slowed down production schedules.,PRODUCTION,215591.41,Diversify suppliers and maintain buffer stock.,42192.83,REALISED,NULL,NULL
